Loại câu hỏi,Metric,Flat RAG,GraphRAG,Nhận xét phân tích
cross-doc,Comprehensiveness,1.5,3.0,GraphRAG cải thiện rõ; kiểm tra rationale và provenance.
cross-doc,Faithfulness,4.0,4.5,Hai phương pháp gần nhau.
cross-doc,Multi-hop reasoning,1.5,3.0,GraphRAG cải thiện rõ; kiểm tra rationale và provenance.
cross-doc,Latency (s),0.0,0.0,Flat RAG thường rẻ/nhanh hơn.
cross-doc,Token usage,0.0,0.0,GraphRAG không đắt hơn trong sample này.
factoid,Comprehensiveness,1.0,5.0,GraphRAG cải thiện rõ; kiểm tra rationale và provenance.
factoid,Faithfulness,4.0,5.0,GraphRAG cải thiện rõ; kiểm tra rationale và provenance.
factoid,Multi-hop reasoning,1.0,4.0,GraphRAG cải thiện rõ; kiểm tra rationale và provenance.
factoid,Latency (s),0.0,0.0,GraphRAG không đắt hơn trong sample này.
factoid,Token usage,0.0,0.0,GraphRAG không đắt hơn trong sample này.
multi-hop,Comprehensiveness,1.5,3.0,GraphRAG cải thiện rõ; kiểm tra rationale và provenance.
multi-hop,Faithfulness,4.0,4.5,Hai phương pháp gần nhau.
multi-hop,Multi-hop reasoning,1.5,3.0,GraphRAG cải thiện rõ; kiểm tra rationale và provenance.
multi-hop,Latency (s),0.0,0.0,GraphRAG không đắt hơn trong sample này.
multi-hop,Token usage,0.0,0.0,GraphRAG không đắt hơn trong sample này.
